,coef,SE,t,p-value
name[T.ARALYDRAFT_496250],4.994832378725391,1.2810303325057488,3.8990742467083432,0.059925683250512764
name[T.ARALYDRAFT_897773],-0.06399980762347468,1.2519084739139317,-0.051121794409927965,0.9638750273936688
name[T.AREB3],-3.108814388867535,1.2539931357886802,-2.479131902833178,0.13138985169510853
name[T.ARF1],-7.147184839624604,1.3678458625619818,-5.225139056412316,0.03473037164774404
name[T.ARF2],-27.05719975087538,2.4648457219920554,-10.977238660198218,0.008196875106956051
name[T.ARF3],-5.410548794964891,1.2491421338954176,-4.331411652965571,0.049386453085866644
name[T.ARF5],-8.36297244020928,1.3702085110529956,-6.103430516412713,0.02580956386503863
name[T.ARF8],-2.3755047855007927,1.2635757483308823,-1.8799860543688898,0.2008626802215068
name[T.ARR1],-1.9420884035078874,1.2483137766485017,-1.5557694225902448,0.2600309797822097
name[T.ARR10],-23.050190950625506,2.4418175561284277,-9.439767886333101,0.011036742687543339
name[T.ARR11],1.326443172521735,1.3067018482218555,1.015107749580934,0.4168785325004578
name[T.ARR14],-2.6982655956824484,1.248744824742711,-2.1607822048338767,0.1632777927826038
name[T.ARR18],-1.9210619979830765,1.2475769973658577,-1.5398344166646383,0.26348915451621696
name[T.ARR2],-4.991150016753013,1.2698966908651201,-3.9303591013791688,0.05905799339461105
name[T.AT1G01250],-2.3755047855008806,1.2635757483308823,-1.8799860543689595,0.2008626802214961
name[T.AT1G12630],-2.411469385577891,1.263423059318889,-1.9086792565571131,0.19651873587548613
name[T.AT1G13300],-12.126158434066076,1.3369111472279716,-9.070279995203235,0.01193787860316213
name[T.AT1G14580],4.296566783547059,1.2684822946659637,3.3871712688575575,0.07720306581035849
name[T.AT1G19210],-2.37550478550071,1.2635757483308832,-1.8799860543688232,0.2008626802215171
name[T.AT1G22810],-2.4114693855778464,1.2634230593188893,-1.9086792565570778,0.19651873587549132
name[T.AT1G25550],-2.375504785500867,1.2635757483308823,-1.8799860543689486,0.20086268022149778
name[T.AT1G28160],-2.3755047855008917,1.2635757483308827,-1.8799860543689675,0.20086268022149487
name[T.AT1G36060],-2.411469385577955,1.2634230593188882,-1.9086792565571655,0.19651873587547825
name[T.AT1G44830],-2.375504785501255,1.2635757483308827,-1.879986054369255,0.20086268022145073
name[T.AT1G47655],-2.375504785500863,1.2635757483308827,-1.8799860543689446,0.20086268022149845
name[T.AT1G49560],-2.3755047855015285,1.2635757483308825,-1.879986054369472,0.2008626802214174
name[T.AT1G68670],-2.4474339854413127,1.2632710739162256,-1.9373783156880986,0.19229859388351572
name[T.AT1G69570],-2.3755047855009037,1.2635757483308827,-1.879986054368977,0.20086268022149348
name[T.AT1G71450],-2.483398585486651,1.263119792377246,-1.966083185833695,0.1881982271701217
name[T.AT1G72740],-2.4474339854411555,1.2632710739162256,-1.9373783156879743,0.1922985938835337
name[T.AT1G75490],-2.519363185741514,1.2629692149541754,-1.9947938207131397,0.18421373829068863
name[T.AT1G76870],-2.3755047855009157,1.2635757483308825,-1.8799860543689868,0.20086268022149192
name[T.AT1G76880],-3.130761386784103,1.2605173684862043,-2.483711422829449,0.13099673776383247
name[T.AT1G77200],-2.3755047855008953,1.2635757483308827,-1.8799860543689704,0.20086268022149445
name[T.AT1G77640],-2.3755047855006493,1.2635757483308818,-1.879986054368777,0.20086268022152412
name[T.AT1G78700],-3.490407387419661,1.2591706754348886,-2.7719891000591756,0.10922946771541615
name[T.AT2G01060],-2.375504785500714,1.2635757483308827,-1.879986054368827,0.2008626802215165
name[T.AT2G03500],-2.8500533880913004,1.2578950576646883,-2.2657322411159573,0.15168732609911117
name[T.AT2G20110],-10.681486220023585,1.2790967141579608,-8.350804205650148,0.014038556191825782
name[T.AT2G28810],-2.591292386077008,1.2626701734631218,-2.0522321985082437,0.17657743526212366
name[T.AT2G33710],-2.3755047855007496,1.2635757483308827,-1.8799860543688551,0.20086268022151219
name[T.AT2G40260],-2.375504785500887,1.2635757483308827,-1.8799860543689637,0.2008626802214955
name[T.AT2G44940],-2.4833985854866056,1.2631197923772455,-1.9660831858336598,0.18819822717012666
name[T.AT3G04030],-2.375504785500616,1.2635757483308827,-1.8799860543687492,0.20086268022152842
name[T.AT3G10113],-2.4437516230109892,1.2902821102286701,-1.8939669112965503,0.19873024373784126
name[T.AT3G10580],-3.346548987197239,1.2597008361174624,-2.6566220258388284,0.11728150289662856
name[T.AT3G12730],-2.375504785501191,1.263575748330883,-1.8799860543692042,0.20086268022145856
name[T.AT3G16280],-2.4833985854866127,1.2631197923772461,-1.9660831858336643,0.18819822717012608
name[T.AT3G24120],-12.056070415054227,1.2654628041130525,-9.527004962824002,0.010838804326010188
name[T.AT3G25990],-2.3755047855008806,1.2635757483308827,-1.8799860543689588,0.20086268022149625
name[T.AT3G45610],-2.3755047855007287,1.2635757483308825,-1.879986054368839,0.20086268022151466
name[T.AT3G46070],-2.447433985441028,1.2632710739162252,-1.9373783156878739,0.19229859388354828
name[T.AT3G52440],-2.3755047855010103,1.2635757483308823,-1.879986054369062,0.20086268022148043
name[T.AT3G57600],-2.411469385578074,1.263423059318889,-1.9086792565572583,0.19651873587546445
name[T.AT3G60490],-1.9219825883970119,1.2576484823882685,-1.5282351271534762,0.2660432782357792
name[T.AT4G12670],-2.3755047855010343,1.263575748330882,-1.8799860543690814,0.2008626802214774
name[T.AT4G16750],-2.3755047855009446,1.2635757483308823,-1.8799860543690101,0.20086268022148834
name[T.AT4G18450],-2.4114693855778055,1.2634230593188882,-1.9086792565570472,0.19651873587549593
name[T.AT4G18890],-2.4114693855777816,1.263423059318889,-1.9086792565570267,0.19651873587549892
