,coef,SE,t,p-value
name[T.AIB],1.1101207542736809e-10,3.283970650133821e-09,0.03380422277003126,0.9761036306192368
name[T.AIL7],1.281179083043862e-10,3.107810171663809e-09,0.04122449610099465,0.970862256228074
name[T.ANL2],1.1912000659681284e-10,3.093231847078506e-09,0.03850988625677033,0.9727794884967811
name[T.ANT],-5.152958734624263e-12,3.072310175860287e-09,-0.001677226074083281,0.9988140229034967
name[T.AP1],1.0000000004132288,3.6925838970478475e-09,270813075.1511727,1.3635175825468174e-17
name[T.AP3],-3.437940800641616e-10,3.107810171840495e-09,-0.11062261240382042,0.9220162157386358
name[T.ARALYDRAFT_484486],1.2269886380353475e-10,3.0963342478283745e-09,0.03962713776446779,0.9719903759587112
name[T.ARALYDRAFT_493022],-4.7029187789983406e-11,3.0793174812994735e-09,-0.015272601177237843,0.9892012698301469
name[T.ARALYDRAFT_495258],2.0000000001558167,3.151277086362923e-09,634663327.0716717,2.482636818372162e-18
name[T.ARALYDRAFT_496250],1.9999999999509688,3.1507403515911703e-09,634771443.143812,2.4817911909078985e-18
name[T.ARALYDRAFT_897773],-1.034799687344573e-11,3.0791140890037006e-09,-0.0033607058960241384,0.9976236287812268
name[T.AREB3],-4.395614465945927e-11,3.0842413901467942e-09,-0.014251849676839717,0.9899229321375262
name[T.ARF1],1.8406255252595427e-12,3.364266282048966e-09,0.0005471105349421188,0.999613134459634
name[T.ARF2],1.9999999999796854,6.062377041093514e-09,329903598.2788248,9.188103847281092e-18
name[T.ARF3],5.068871890149054e-12,3.0723101758555204e-09,0.001649856817838247,0.9988333758500152
name[T.ARF5],0.999999999993475,3.3700773013108616e-09,296729098.648421,1.1357421016958913e-17
name[T.ARF8],-1.1803835361402781e-12,3.1078101716535696e-09,-0.00037981198044417,0.9997314323827378
name[T.ARR1],2.035519105700323e-13,3.0702728013007077e-09,6.629766269752917e-05,0.9999531204731813
name[T.ARR10],0.9999999998478148,6.005738435770449e-09,166507417.954097,3.606889416986878e-17
name[T.ARR11],0.9999999999948995,3.213880371308761e-09,311150349.2544989,1.0329027041189103e-17
name[T.ARR14],8.023609256386025e-12,3.0713329796504624e-09,0.002612419203501394,0.9981527438176576
name[T.ARR18],-1.997588767034368e-12,3.0684606660552425e-09,-0.0006510068025745404,0.9995396687240742
name[T.ARR2],7.420170164071371e-12,3.123356758020308e-09,0.002375703686432072,0.9983201261835208
name[T.AT1G01250],-1.208567913715125e-12,3.1078101716535696e-09,-0.00038888086690059436,0.9997250197123371
name[T.AT1G12630],1.0736889675955208e-11,3.10743462751607e-09,0.003455226243822142,0.9975567933845583
name[T.AT1G13300],1.000000000000265,3.2881812328548518e-09,304119490.13286257,1.0812135820093124e-17
name[T.AT1G14580],1.2228253240716136e-11,3.119877999504807e-09,0.003919465197888196,0.9972285302239016
name[T.AT1G19210],-1.1914886124172325e-12,3.1078101716535717e-09,-0.0003833852605557557,0.9997289056924157
name[T.AT1G22810],1.0753954814862222e-11,3.1074346275160705e-09,0.003460717956746978,0.997552910191934
name[T.AT1G25550],-1.1982566631638103e-12,3.1078101716535696e-09,-0.0003855630160725856,0.9997273657868927
name[T.AT1G28160],-1.2164951121093615e-12,3.1078101716535704e-09,-0.00039143160132657065,0.9997232160709334
name[T.AT1G36060],1.072585705148843e-11,3.107434627516068e-09,0.0034516758475019497,0.9975593038714166
name[T.AT1G44830],-1.2499077022953137e-12,3.10781017165357e-09,-0.0004021827696220829,0.9997156138478238
name[T.AT1G47655],-1.1937366243067182e-12,3.1078101716535704e-09,-0.0003841086032843401,0.9997283942119237
name[T.AT1G49560],-1.3054832551356171e-12,3.10781017165357e-09,-0.00042006531384798505,0.99970296898114
name[T.AT1G68670],-1.2164131735301759e-12,3.107060813931119e-09,-0.00039149963466313494,0.9997231679641052
name[T.AT1G69570],-1.2240736531077831e-12,3.10781017165357e-09,-0.0003938701482711511,0.999721491758052
name[T.AT1G71450],-6.436229804326898e-12,3.10668873152431e-09,-0.002071733076769791,0.9985350650645105
name[T.AT1G72740],-1.1954358943716548e-12,3.1070608139311187e-09,-0.00038474814815715313,0.9997279419854574
name[T.AT1G75490],-2.055974748088607e-13,3.106318380916e-09,-6.618686483393681e-05,0.9999531988191017
name[T.AT1G76870],-1.210871870436711e-12,3.10781017165357e-09,-0.00038962221099638253,0.9997244955029594
name[T.AT1G76880],-2.2700980093111334e-12,3.1002879760094813e-09,-0.0007322216603352691,0.9994822411680442
name[T.AT1G77200],-1.2143466570843642e-12,3.10781017165357e-09,-0.00039074029300774436,0.9997237048996774
name[T.AT1G77640],-1.2031316698121741e-12,3.1078101716535688e-09,-0.00038713164683801303,0.9997262565975655
name[T.AT1G78700],-1.3585337309317616e-11,3.096975735830368e-09,-0.004386646350548524,0.9968981875406095
name[T.AT2G01060],-1.2053353022574214e-12,3.10781017165357e-09,-0.0003878407095939517,0.9997257552145389
name[T.AT2G03500],1.1637519574847661e-11,3.0938383078711757e-09,0.003761515120308684,0.9973402165591937
name[T.AT2G20110],0.9999999999969397,3.145984547455732e-09,317865515.52062607,9.897218772890822e-18
name[T.AT2G28810],7.872826319360073e-12,3.1055828775725164e-09,0.002535055939487237,0.9982074476344623
name[T.AT2G33710],-1.2022475029405122e-12,3.10781017165357e-09,-0.00038684714848617453,0.9997264577682567
name[T.AT2G40260],-1.2129901033261503e-12,3.10781017165357e-09,-0.000390303794739418,0.9997240135505276
name[T.AT2G44940],-6.456295350773522e-12,3.106688731524309e-09,-0.0020781918977784797,0.9985304980031243
name[T.AT3G04030],-1.1918053603878582e-12,3.10781017165357e-09,-0.0003834871805422193,0.9997288336241101
name[T.AT3G10113],3.999999999987181,3.1734954329158584e-09,1260439816.1405,6.294420789251475e-19
name[T.AT3G10580],1.8736807122650932e-11,3.098279685169448e-09,0.00604748732412329,0.9957238198010196
name[T.AT3G12730],-1.230687698017957e-12,3.107810171653571e-09,-0.00039599834933391244,0.9997199868928248
name[T.AT3G16280],-6.451880479527161e-12,3.1066887315243107e-09,-0.0020767708119768784,0.9985315028592786
name[T.AT3G24120],8.122728021881659e-13,3.112451453477831e-09,0.00026097525192900217,0.9998154626327813
name[T.AT3G25990],-1.2131256048807885e-12,3.10781017165357e-09,-0.0003903473950712124,0.9997239827204409
name[T.AT3G45610],-1.1997239681739436e-12,3.10781017165357e-09,-0.00038603515076842917,0.9997270319372848
name[T.AT3G46070],-1.191319585298542e-12,3.1070608139311183e-09,-0.00038342332404857555,0.9997288787774647
name[T.AT3G52440],-1.2169289509500003e-12,3.1078101716535696e-09,-0.00039157119763930435,0.9997231173614454
name[T.AT3G57600],1.0723152617589382e-11,3.1074346275160697e-09,0.003450805536707603,0.9975599192685833
name[T.AT3G60490],1.789642609453801e-11,3.093231847076761e-09,0.0057856723903353426,0.9959089460549169
name[T.AT4G12670],-1.2198742179152927e-12,3.1078101716535688e-09,-0.00039251889611592193,0.9997224472375033
name[T.AT4G16750],-1.2212050083193829e-12,3.1078101716535696e-09,-0.0003929471045104462,0.9997221444484787
name[T.AT4G18450],1.0737424512886895e-11,3.1074346275160677e-09,0.0034553983590862765,0.9975566716817776
name[T.AT4G18890],1.074409354887007e-11,3.1074346275160697e-09,0.003457544513964038,0.997555154134708
name[T.AT4G28140],-1.1898379959247862e-12,3.1070608139311187e-09,-0.000382946478095927,0.9997292159584343
name[T.AT4G31060],-1.2099785962668003e-12,3.10781017165357e-09,-0.00038933478218941797,0.9997246987457947
