,coef,SE,t,p-value
name[T.AT3G52440],0.16831444549001623,0.688980352140939,0.24429498601374564,0.8297783980702146
name[T.AT3G57600],0.16752050942458538,0.6888970965629572,0.24317203579515442,0.8305383349178269
name[T.AT3G60490],0.13417519472816425,0.6857484368546813,0.19566241425731118,0.8629512484609503
name[T.AT4G12670],0.16831444549001393,0.6889803521409389,0.24429498601374233,0.8297783980702168
name[T.AT4G16750],0.16831444549001404,0.688980352140939,0.24429498601374244,0.8297783980702167
name[T.AT4G18450],0.16752050942459365,0.6888970965629567,0.2431720357951666,0.8305383349178187
name[T.AT4G18890],0.16752050942458768,0.6888970965629572,0.24317203579515778,0.8305383349178246
name[T.AT4G28140],0.1667265733438692,0.688814224636691,0.2420486792818596,0.8312988492773533
name[T.AT4G31060],0.16831444549001714,0.6889803521409392,0.24429498601374688,0.8297783980702137
name[T.AT4G32800],0.16831444549001096,0.6889803521409392,0.2442949860137379,0.8297783980702198
name[T.AT4G36780],-0.21595060954225337,0.6946721979787097,-0.31086692424226225,0.7853095311077426
name[T.AT4G37180],0.1683144454900141,0.6889803521409393,0.24429498601374242,0.8297783980702167
name[T.AT5G02460],0.167520509424581,0.688897096562957,0.24317203579514815,0.8305383349178311
name[T.AT5G18450],0.16672657334387372,0.6888142246366912,0.24204867928186607,0.831298849277349
name[T.AT5G29000],0.13417519472816758,0.685748436854681,0.19566241425731612,0.862951248460947
name[T.AT5G45580],-0.19213252761195243,0.6916557073985921,-0.27778636908034504,0.8072584242565443
name[T.AT5G47660],0.14529029962300433,0.6867221952247718,0.21157070593218438,0.8520434708044937
name[T.AT5G56840],1.1560459637976408,0.8768971198895948,1.3183370518347604,0.3181229420854058
name[T.AT5G61620],0.08177541450331272,0.6821894200705685,0.11987200636276876,0.9155405541441652
name[T.AT5G66940],0.1683144454900105,0.6889803521409393,0.2442949860137372,0.8297783980702202
name[T.AT5G67000],0.1683144454900183,0.6889803521409391,0.2442949860137486,0.8297783980702125
name[T.ATHB-12],-0.36282878136552343,0.7205167140426773,-0.5035674735840098,0.6645551248398611
name[T.ATHB-16],0.1683144454900101,0.6889803521409392,0.24429498601373664,0.8297783980702207
name[T.ATHB-5],-0.05716339670143471,0.6811102448114215,-0.08392679032050311,0.9407590247586486
name[T.ATHB-51],-0.011115105008201297,0.6801164893244541,-0.016342942985019676,0.9884445657553794
name[T.ATHB-6],2.2970071424632756,1.3077789111220273,1.7564185528060903,0.22109897503217582
name[T.ATHB-9],0.6236743055259488,0.7234891548094862,0.8620368410224183,0.47951956159014075
name[T.ATHB13],0.1651387012320149,0.6886496322929038,0.23980075424156527,0.8328216023878897
name[T.ATHB15],0.16672657334387606,0.6888142246366911,0.24204867928186952,0.8312988492773465
name[T.ATHB18],0.16752050942458946,0.6888970965629572,0.24317203579516036,0.8305383349178228
name[T.ATHB20],1.0358772319995233,2.6876456789697194,0.38542179875310645,0.737055830501042
name[T.ATHB21],0.168314445490011,0.6889803521409393,0.24429498601373795,0.8297783980702198
name[T.ATHB23],-0.08812690321423777,0.682529627716009,-0.12911806262409775,0.9090779072380858
name[T.ATHB24],0.9102852246545213,0.6826186260262421,1.333519464526781,0.31395496599130934
name[T.ATHB25],0.1532296602608372,0.6874642325567237,0.22289110182644156,0.8443139670810973
name[T.ATHB33],0.16196295697009072,0.6883250574804157,0.23530010306896157,0.8358739495458859
name[T.ATHB34],0.16752050942459074,0.6888970965629568,0.24317203579516233,0.8305383349178216
name[T.ATHB4],0.16593263729229563,0.6887317365008304,0.24092491822045659,0.8320599390948159
name[T.ATHB40],0.6693631565208832,1.106475865274278,0.6049505258345228,0.60670747884996
name[T.ATHB53],0.1683144454900226,0.6889803521409392,0.24429498601375482,0.8297783980702084
name[T.ATHB7],-0.06272094914510162,0.6813206440050755,-0.09205790210084164,0.9350427103754156
name[T.Adof1],0.135763066836568,0.6858828850830533,0.19793913770005866,0.8613870192009917
name[T.At1g19000],0.15402359633640283,0.6875405616874307,0.2240211049634406,0.8435439502246571
name[T.At1g49010],0.16116902089897997,0.6882448749611344,0.2341739499448961,0.8366384495766828
name[T.At1g72010],0.06510275713595005,0.6814167650591584,0.0955402926288408,0.9325964501205839
name[T.At1g74840],0.16513870123201219,0.6886496322929037,0.23980075424156136,0.8328216023878924
name[T.At2g38090],1.1560459637946037,0.8768971198895954,1.318337051831296,0.3181229420863646
name[T.At2g45680],0.16831444549001257,0.6889803521409392,0.24429498601374022,0.8297783980702182
name[T.At3g09600],0.16513870123202143,0.6886496322929039,0.2398007542415747,0.8328216023878833
