,coef,SE,t,p-value
Intercept,-1.6283241674623607,0.32018267205846473,-5.085609901978181,0.03655756625498638
name[T.ABF2],2.1965173528514885,0.4582392252224573,4.793385707618471,0.040872855946612274
name[T.ABF3],1.090669961038504,0.4439268633266106,2.4568685771017753,0.13332459743395256
name[T.ABI3],1.628324167522747,0.44710296243511605,3.641944483333748,0.06781402989685224
name[T.ABI5],1.612962618727742,0.4469951566047613,3.608456590400919,0.06895074854963915
name[T.ABR1],1.6283241674557123,0.4471029624356022,3.641944483179857,0.06781402990201345
name[T.AG],1.5668779723810733,0.4466777192803507,3.5078489585410577,0.0725363687043061
name[T.AGL1],1.6206433931532085,0.4470489350342815,3.625203565307523,0.06837886887388095
name[T.AGL13],1.6052818441147911,0.44694162722629566,3.5917035834793793,0.06952978200484505
name[T.AGL15],0.0691269695255868,0.4413360190051287,0.1566311530189959,0.8899181598435775
name[T.AGL16],1.4977510031331078,0.4462184160980097,3.3565423324082038,0.07845622295279533
name[T.AGL25],0.8218428575877307,0.4428044305459365,1.8559951095667115,0.20459349558442605
name[T.AGL27],-0.7911197596990575,0.44269609389647385,-1.7870493338576052,0.215840191670451
name[T.AGL3],1.4055817112099944,0.4456375670241329,3.1540916099065703,0.08752420027518594
name[T.AGL42],1.6283241668299324,0.4471029624374373,3.641944481765276,0.06781402994945572
name[T.AGL55],1.3364547414914743,0.44522567378126565,3.0017467998668454,0.0953702746600281
name[T.AGL6],1.5976010702373042,0.44688834699285407,3.5749445716982424,0.0701160844238281
name[T.AGL63],1.589920295696899,0.4468353159897337,3.5581795771340246,0.0707097734004045
name[T.AHL12],1.6283241678975695,0.44710296241715397,3.641944484318397,0.06781402986382905
name[T.AHL20],-2.2277928047741433,0.6958567408540515,-3.201510704688854,0.08527036445134817
name[T.AHL25],1.3529473848412703,0.6123158293978849,2.2095580742566767,0.15774528281066336
name[T.AIB],4.167293587027428,0.472446167921891,8.820673909490578,0.01261016306649817
name[T.AIL7],1.6283241677100555,0.44710296243707565,3.6419444837367245,0.0678140298833372
name[T.ANL2],3.2980508693213255,0.4450056618461684,7.411255972876612,0.017723506163998672
name[T.ANT],1.4469842450904609,0.4419957800760111,3.2737512671311464,0.08199360791341842
